Key,Source,Context,Changes,English
HN Bathroom AccessoriesDesc,blocks,Block,New,"Type: [c7b992]Unnecessary but Beautiful[-] [FF684F](Workbench required to craft.)[-]\nMaterial: [c7b992][-]\nUnlocked by: [c7b992]Advanced Engineering[-]\n\n BathroomAccessories."
HN Bathroom Bathtub WhiteDesc,blocks,Block,New,"Type: [c7b992]Unnecessary but Beautiful[-] [FF684F](Workbench required to craft.)[-]\nMaterial: [c7b992][-]\nUnlocked by: [c7b992]Advanced Engineering[-]\n\n ."
HN Bathroom BathtubDesc,blocks,Block,New,"Type: [c7b992]Unnecessary but Beautiful[-] [FF684F](Workbench required to craft.)[-]\nMaterial: [c7b992][-]\nUnlocked by: [c7b992]Advanced Engineering[-]\n\n ."
HN Bathroom Cabinet 1Desc,blocks,Block,New,"Type: [c7b992]Unnecessary but Beautiful[-] [FF684F](Workbench required to craft.)[-]\nMaterial: [c7b992][-]\nUnlocked by: [c7b992]Advanced Engineering[-]\n\n ."
HN Bathroom Cabinet 2Desc,blocks,Block,New,"Type: [c7b992]Unnecessary but Beautiful[-] [FF684F](Workbench required to craft.)[-]\nMaterial: [c7b992][-]\nUnlocked by: [c7b992]Advanced Engineering[-]\n\n ."
HN Bathroom Cabinet 3Desc,blocks,Block,New,"Type: [c7b992]Unnecessary but Beautiful[-] [FF684F](Workbench required to craft.)[-]\nMaterial: [c7b992][-]\nUnlocked by: [c7b992]Advanced Engineering[-]\n\n ."
HN Bathroom Cabinet 4Desc,blocks,Block,New,"Type: [c7b992]Unnecessary but Beautiful[-] [FF684F](Workbench required to craft.)[-]\nMaterial: [c7b992][-]\nUnlocked by: [c7b992]Advanced Engineering[-]\n\n ."
HN Bathroom Double Shower DoorDesc,blocks,Block,New,"Type: [c7b992]Unnecessary but Beautiful[-] [FF684F](Workbench required to craft.)[-]\nMaterial: [c7b992][-]\nUnlocked by: [c7b992]Advanced Engineering[-]\n\n ."
HN Bathroom LightDesc,blocks,Block,New,"Type: [c7b992]Unnecessary but Beautiful[-] [FF684F](Workbench required to craft.)[-]\nMaterial: [c7b992][-]\nUnlocked by: [c7b992]Advanced Engineering[-]\n\n ."
HN Bathroom Shower OffsetDesc,blocks,Block,New,"Type: [c7b992]Unnecessary but Beautiful[-] [FF684F](Workbench required to craft.)[-]\nMaterial: [c7b992][-]\nUnlocked by: [c7b992]Advanced Engineering[-]\n\n ."
HN Bathroom ShowerDesc,blocks,Block,New,"Type: [c7b992]Unnecessary but Beautiful[-] [FF684F](Workbench required to craft.)[-]\nMaterial: [c7b992][-]\nUnlocked by: [c7b992]Advanced Engineering[-]\n\n ."
HN Bathroom ShowerGlass 1x1Desc,blocks,Block,New,"Type: [c7b992]Unnecessary but Beautiful[-] [FF684F](Workbench required to craft.)[-]\nMaterial: [c7b992][-]\nUnlocked by: [c7b992]Advanced Engineering[-]\n\n ."
HN Bathroom ShowerGlass 2x1Desc,blocks,Block,New,"Type: [c7b992]Unnecessary but Beautiful[-] [FF684F](Workbench required to craft.)[-]\nMaterial: [c7b992][-]\nUnlocked by: [c7b992]Advanced Engineering[-]\n\n ."
HN Bathroom Sink 2Desc,blocks,Block,New,"Type: [c7b992]Unnecessary but Beautiful[-] [FF684F](Workbench required to craft.)[-]\nMaterial: [c7b992][-]\nUnlocked by: [c7b992]Advanced Engineering[-]\n\n ."
HN Bathroom SinkDesc,blocks,Block,New,"Type: [c7b992]Unnecessary but Beautiful[-] [FF684F](Workbench required to craft.)[-]\nMaterial: [c7b992][-]\nUnlocked by: [c7b992]Advanced Engineering[-]\n\n ."
HN Bathroom Toilet PaperDesc,blocks,Block,New,"Type: [c7b992]Unnecessary but Beautiful[-] [FF684F](Workbench required to craft.)[-]\nMaterial: [c7b992][-]\nUnlocked by: [c7b992]Advanced Engineering[-]\n\n ."
HN Bathroom TowelDesc,blocks,Block,New,"Type: [c7b992]Unnecessary but Beautiful[-] [FF684F](Workbench required to craft.)[-]\nMaterial: [c7b992][-]\nUnlocked by: [c7b992]Advanced Engineering[-]\n\n ."
HN Bed Large 2X2.5Desc,blocks,Block,New,"Type: [c7b992]Unnecessary but Beautiful[-] [FF684F](Table Saw required to craft.)[-]\nMaterial: [c7b992][-]\nUnlocked by: [c7b992]Advanced Engineering[-]\n\nPlacing a bed on the ground will allow you to respawn there when you die. Placing a new bed or picking up the last placed bed will permanently clear all previous respawn points. The bed shows on your map and compass and prevents zombie spawning near it."
